 Hit    Total  Avg    Min    Max   Name
69     1340   19     18     21     ClearScreen
69     7428   107    93     245    RenderNormalDisplay
69     587    8      8      9      LockVideoBuffer
69     9412   136    121    272    Refresh
69     366    5      2      16     Process
69     10     0      0      2      ReadInputs
 Hit    Total  Avg    Min    Max   Name
77     457    5      5      7      CopyVideoBuffer
78     2325   29     15     981    UnlockVideoBuffer
78     1951   25     16     32     Actor Rendering
78     981    12     8      17     Wall Rendering
78     1321   16     11     21     Floor Rendering
78     420    5      3      7      ClearZScreen
78     1237   15     10     20     ClearScreen
78     6654   85     56     105    RenderNormalDisplay
78     617    7      7      9      LockVideoBuffer
78     9856   126    82     1083   Refresh
78     301    3      2      6      Process
78     8      0      0      1      ReadInputs
 Hit    Total  Avg    Min    Max   Name
0      0      0      10000000 0      CopyVideoBuffer
0      0      0      10000000 0      UnlockVideoBuffer
0      0      0      10000000 0      Actor Rendering
0      0      0      10000000 0      Wall Rendering
0      0      0      10000000 0      Floor Rendering
0      0      0      10000000 0      ClearZScreen
0      0      0      10000000 0      ClearScreen
0      0      0      10000000 0      RenderNormalDisplay
7948   280    0      0      18     LockVideoBuffer
7948   4648   0      0      20     Refresh
7948   886    0      0      53     Process
7948   564    0      0      30     ReadInputs
 Hit    Total  Avg    Min    Max   Name
0      0      0      10000000 0      CopyVideoBuffer
0      0      0      10000000 0      UnlockVideoBuffer
0      0      0      10000000 0      Actor Rendering
0      0      0      10000000 0      Wall Rendering
0      0      0      10000000 0      Floor Rendering
0      0      0      10000000 0      ClearZScreen
0      0      0      10000000 0      ClearScreen
0      0      0      10000000 0      RenderNormalDisplay
6852   866    0      0      108    LockVideoBuffer
6852   4979   0      0      109    Refresh
6852   775    0      0      19     Process
6852   774    0      0      104    ReadInputs
 Hit    Total  Avg    Min    Max   Name
0      0      0      10000000 0      CopyVideoBuffer
0      0      0      10000000 0      UnlockVideoBuffer
0      0      0      10000000 0      Actor Rendering
0      0      0      10000000 0      Wall Rendering
0      0      0      10000000 0      Floor Rendering
0      0      0      10000000 0      ClearZScreen
0      0      0      10000000 0      ClearScreen
0      0      0      10000000 0      RenderNormalDisplay
7121   642    0      0      96     LockVideoBuffer
7121   4736   0      0      97     Refresh
7121   853    0      0      85     Process
7121   869    0      0      257    ReadInputs
 Hit    Total  Avg    Min    Max   Name
114    414    3      2      48     CopyVideoBuffer
114    1427   12     10     57     UnlockVideoBuffer
114    1848   16     14     19     Actor Rendering
114    2204   19     12     23     Wall Rendering
114    1160   10     8      13     Floor Rendering
114    382    3      3      5      ClearZScreen
114    1126   9      8      12     ClearScreen
114    7605   66     57     72     RenderNormalDisplay
114    564    4      4      34     LockVideoBuffer
114    9842   86     74     225    Refresh
114    255    2      0      27     Process
114    18     0      0      2      ReadInputs
 Hit    Total  Avg    Min    Max   Name
104    378    3      2      57     CopyVideoBuffer
104    1326   12     7      82     UnlockVideoBuffer
104    1646   15     13     43     Actor Rendering
104    2104   20     17     45     Wall Rendering
104    1025   9      7      27     Floor Rendering
104    335    3      3      4      ClearZScreen
104    994    9      8      17     ClearScreen
104    6910   66     60     95     RenderNormalDisplay
104    568    5      4      71     LockVideoBuffer
104    9115   87     75     356    Refresh
104    182    1      0      41     Process
104    80     0      0      67     ReadInputs
 Hit    Total  Avg    Min    Max   Name
116    372    3      3      4      CopyVideoBuffer
116    1412   12     11     14     UnlockVideoBuffer
116    1755   15     9      21     Actor Rendering
116    1921   16     9      29     Wall Rendering
116    1256   10     5      18     Floor Rendering
116    386    3      3      5      ClearZScreen
116    1153   9      9      11     ClearScreen
116    7366   63     56     77     RenderNormalDisplay
116    545    4      4      6      LockVideoBuffer
116    9469   81     73     95     Refresh
116    370    3      1      19     Process
116    12     0      0      1      ReadInputs
 Hit    Total  Avg    Min    Max   Name
47     152    3      3      5      CopyVideoBuffer
47     3131   66     11     2456   UnlockVideoBuffer
47     785    16     13     35     Actor Rendering
47     1033   21     15     39     Wall Rendering
47     571    12     8      29     Floor Rendering
47     157    3      3      9      ClearZScreen
47     613    13     9      94     ClearScreen
47     3576   76     63     164    RenderNormalDisplay
478    1596   3      1      571    LockVideoBuffer
478    8646   18     1      2625   Refresh
478    750    1      0      352    Process
478    123    0      0      33     ReadInputs
 Hit    Total  Avg    Min    Max   Name
73     222    3      2      4      CopyVideoBuffer
73     1523   20     11     564    UnlockVideoBuffer
73     1179   16     15     33     Actor Rendering
73     1787   24     17     100    Wall Rendering
73     770    10     7      102    Floor Rendering
73     229    3      3      4      ClearZScreen
73     750    10     8      27     ClearScreen
73     5319   72     61     256    RenderNormalDisplay
561    1800   3      1      481    LockVideoBuffer
561    9083   16     1      826    Refresh
561    378    0      0      60     Process
561    135    0      0      58     ReadInputs
 Hit    Total  Avg    Min    Max   Name
72     251    3      3      21     CopyVideoBuffer
72     1719   23     11     810    UnlockVideoBuffer
72     1136   15     10     34     Actor Rendering
72     1478   20     11     96     Wall Rendering
72     788    10     8      19     Floor Rendering
72     239    3      3      4      ClearZScreen
72     725    10     9      18     ClearScreen
72     4919   68     57     164    RenderNormalDisplay
885    2095   2      1      580    LockVideoBuffer
885    9305   10     1      980    Refresh
885    471    0      0      46     Process
